wavelength, species, priority
5945.314, Ar XV, 12.9
5959.209, Si II, 9.37
5980.585, Si II, 18.6
6288.0859, S II, 1.43
6307.2378, S II, 6.22
6348.8628, Si II, 308.0
6373.1309, Si II, 153.0
6376.291, Fe X, 112.0
6386.6699, S II, 1.33
6399.1348, S II, 2.52
6399.7949, S II, 1.08
6415.4951, S II, 1.09
6467.9292, OV, 1.52
6483.8481, N II, 42.8
6502.0352, OV, 5.83
6564.5361, HI, 14300.0
6564.5488, HI, 3630.0
6564.5762, HI, 5630.0
6564.5962, HI, 1830.0
6564.6768, HI, 23400.0
6564.6938, HI, 2870.0
6564.7339, HI, 11300.0
6579.8828, C II, 1370.0
6584.709, C II, 695.0
6672.4619, K XIV, 3.53
6680.0078, He I, 1630.0
6701.7065, Ni XV, 38.5
6859.1812, Fe X *, 1.0
6918.021, Ar XI, 9.6
6983.3359, S II, 4.12
7044.0249, Al II, 60.7
7046.7324, Fe XIX, 16.5
7058.6572, Al II, 36.1
7062.147, Fe XV, 132.0
7065.6279, Al II, 12.1
7067.1401, He I, 5140.0
7067.1782, He I, 3090.0
7067.6709, He I, 1030.0
7283.3711, He I, 1180.0
7322.019, O II, 3.23
7331.6982, O II, 1.41
7332.7671, O II, 1.74
7425.6968, NI, 1.14
7444.3579, NI, 2.41
7470.3789, NI, 2.6
7548.3232, K XIV, 6.92
7612.6816, S XII, 190.0
7879.2212, Mg II, 3.03
7894.0449, Fe XI, 68.0
7898.5381, Mg II, 5.44
7969.5898, S II, 3.23
8024.0869, Ni XV, 19.8
8212.9873, NI, 1.08
8216.2461, Mg II, 1.16
8218.6094, NI, 2.0
8236.9043, Mg II, 2.3
8316.8877, S II, 5.26
8339.6035, Ar XIII, 25.8
8570.1035, NI, 2.46
8596.3779, NI, 3.37
8631.6172, NI, 13.2
8643.0723, Al II, 15.0
8658.2715, NI, 1.72
8682.6797, NI, 2.66
8685.8018, NI, 1.49
8714.1084, NI, 1.18
9220.7793, Mg II, 14.2
9246.8037, Mg II, 7.16
9326.459, Si III, 5.48
9389.3994, NI, 7.26
9395.3887, NI, 10.4
9463.2871, NI, 1.29
9466.1484, He I, 5.69
9466.1982, He I, 17.1
9466.2012, He I, 28.5
9788.3936, Fe IX, 2.4
9916.7178, S VIII, 12.8
9918.6855, Fe XIII, 1.31
